2021-01-31/13:54:17		Start of Validation on files!!
2021-01-31/13:54:23		Raw Data Validation Complete!!
2021-01-31/13:54:23		Starting Data Transforamtion!!
2021-01-31/13:54:32		DataTransformation Completed!!!
2021-01-31/13:54:32		Creating Training_Database and tables on the basis of given schema!!!
2021-01-31/13:55:38		Table creation Completed!!
2021-01-31/13:55:38		Insertion of Data into Table started!!!!
2021-01-31/13:57:02		Insertion in Table completed!!!
2021-01-31/13:57:02		Deleting Good Data Folder!!!
2021-01-31/13:57:02		Good_Data folder deleted!!!
2021-01-31/13:57:02		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-01-31/13:57:02		Bad files moved to archive!! Bad folder Deleted!!
2021-01-31/13:57:02		Validation Operation completed!!
2021-01-31/13:57:02		Extracting csv file from table
